date,press,release,identity
2019-11-21,13:31:23.863:,13:31:24.211:,Key.shift_r
2019-11-21,13:31:24.092:,13:31:24.188:,T
2019-11-21,13:31:24.284:,13:31:24.355:,h
2019-11-21,13:31:24.396:,13:31:24.483:,e
2019-11-21,13:31:24.724:,13:31:24.804:,Key.space
2019-11-21,13:31:24.868:,13:31:24.956:,i
2019-11-21,13:31:24.988:,13:31:25.059:,t
2019-11-21,13:31:25.180:,13:31:25.267:,s
2019-11-21,13:31:25.308:,13:31:25.395:,y
2019-11-21,13:31:25.476:,13:31:25.555:,Key.space
2019-11-21,13:31:25.620:,13:31:25.691:,b
2019-11-21,13:31:25.773:,13:31:25.876:,i
2019-11-21,13:31:26.004:,13:31:26.027:,t
2019-11-21,13:31:26.028:,13:31:26.099:,s
2019-11-21,13:31:26.180:,13:31:26.243:,y
2019-11-21,13:31:26.380:,13:31:26.435:,Key.space
2019-11-21,13:31:26.500:,13:31:26.587:,s
2019-11-21,13:31:26.604:,13:31:26.779:,p
2019-11-21,13:31:26.701:,13:31:26.756:,i
2019-11-21,13:31:26.836:,13:31:26.892:,d
2019-11-21,13:31:27.021:,13:31:27.147:,e
2019-11-21,13:31:27.044:,13:31:27.083:,r
2019-11-21,13:31:27.172:,13:31:27.259:,Key.space
2019-11-21,13:31:27.324:,13:31:27.627:,c
2019-11-21,13:31:27.404:,13:31:27.435:,l
2019-11-21,13:31:27.500:,13:31:27.539:,i
2019-11-21,13:31:27.564:,13:31:27.587:,m
2019-11-21,13:31:27.732:,13:31:27.819:,b
2019-11-21,13:31:27.844:,13:31:27.900:,e
2019-11-21,13:31:27.996:,13:31:28.075:,d
2019-11-21,13:31:28.100:,13:31:28.131:,Key.space
2019-11-21,13:31:28.252:,13:31:28.331:,u
2019-11-21,13:31:28.428:,13:31:28.499:,p
2019-11-21,13:31:28.572:,13:31:28.652:,Key.space
2019-11-21,13:31:28.725:,13:31:28.796:,t
2019-11-21,13:31:28.836:,13:31:28.908:,h
2019-11-21,13:31:28.924:,13:31:29.020:,e
2019-11-21,13:31:29.020:,13:31:29.083:,Key.space
2019-11-21,13:31:29.180:,13:31:29.251:,w
2019-11-21,13:31:29.356:,13:31:29.403:,a
2019-11-21,13:31:29.460:,13:31:29.523:,t
2019-11-21,13:31:29.580:,13:31:29.731:,e
2019-11-21,13:31:29.676:,13:31:29.700:,r
2019-11-21,13:31:29.812:,13:31:29.899:,s
2019-11-21,13:31:29.900:,13:31:30.004:,p
2019-11-21,13:31:30.300:,13:31:30.531:,o
2019-11-21,13:31:30.436:,13:31:30.467:,u
2019-11-21,13:31:30.588:,13:31:30.667:,t
2019-11-21,13:31:30.764:,13:31:30.851:,.
2019-11-21,13:31:31.332:,13:31:31.403:,Key.space
2019-11-21,13:31:31.420:,13:31:31.627:,Key.shift_r
2019-11-21,13:31:31.540:,13:31:31.572:,D
2019-11-21,13:31:31.668:,13:31:31.747:,o
2019-11-21,13:31:31.772:,13:31:31.843:,w
2019-11-21,13:31:31.867:,13:31:31.939:,n
2019-11-21,13:31:32.020:,13:31:32.131:,Key.space
2019-11-21,13:31:32.420:,13:31:32.499:,c
2019-11-21,13:31:32.500:,13:31:32.571:,a
2019-11-21,13:31:32.619:,13:31:32.691:,m
2019-11-21,13:31:32.716:,13:31:32.795:,e
2019-11-21,13:31:32.828:,13:31:32.907:,Key.space
2019-11-21,13:31:32.932:,13:31:32.987:,t
2019-11-21,13:31:33.020:,13:31:33.163:,h
2019-11-21,13:31:33.084:,13:31:33.107:,e
2019-11-21,13:31:33.228:,13:31:33.363:,Key.space
2019-11-21,13:31:33.276:,13:31:33.307:,r
2019-11-21,13:31:33.444:,13:31:33.507:,a
2019-11-21,13:31:33.539:,13:31:33.699:,i
2019-11-21,13:31:33.603:,13:31:33.643:,n
2019-11-21,13:31:33.780:,13:31:33.859:,Key.space
2019-11-21,13:31:33.892:,13:31:33.939:,a
2019-11-21,13:31:34.108:,13:31:34.187:,n
2019-11-21,13:31:34.412:,13:31:34.491:,d
2019-11-21,13:31:34.860:,13:31:34.940:,Key.space
2019-11-21,13:31:35.012:,13:31:35.092:,w
2019-11-21,13:31:35.140:,13:31:35.211:,a
2019-11-21,13:31:35.235:,13:31:35.315:,s
2019-11-21,13:31:35.363:,13:31:35.499:,h
2019-11-21,13:31:35.435:,13:31:35.459:,e
2019-11-21,13:31:35.595:,13:31:35.675:,d
2019-11-21,13:31:35.676:,13:31:35.748:,Key.space
2019-11-21,13:31:35.788:,13:31:35.851:,t
2019-11-21,13:31:35.875:,13:31:35.947:,h
2019-11-21,13:31:35.948:,13:31:36.035:,e
2019-11-21,13:31:36.076:,13:31:36.139:,Key.space
2019-11-21,13:31:36.172:,13:31:36.251:,s
2019-11-21,13:31:36.291:,13:31:36.411:,p
2019-11-21,13:31:36.444:,13:31:36.499:,i
2019-11-21,13:31:36.555:,13:31:36.635:,d
2019-11-21,13:31:36.659:,13:31:36.875:,e
2019-11-21,13:31:36.796:,13:31:36.827:,r
2019-11-21,13:31:36.931:,13:31:36.995:,Key.space
2019-11-21,13:31:37.059:,13:31:37.196:,o
2019-11-21,13:31:37.196:,13:31:37.227:,u
2019-11-21,13:31:37.228:,13:31:37.315:,t
2019-11-21,13:31:37.387:,13:31:37.547:,.
2019-11-21,13:31:39.901:,13:31:40.172:,Key.shift_r
2019-11-21,13:31:40.068:,13:31:40.139:,M
