keyname,timepress,timerelease
shift,0,238
t,150,238
h,253,325
e,357,469
space,445,541
i,517,621
t,645,677
s,773,869
y,845,957
space,933,1013
b,1086,1181
o,1158,1245
i,1181,1270
t,1271,1317
backspace,1565,1645
backspace,1717,1813
backspace,1877,1989
i,1989,2109
t,2085,2133
s,2254,2325
y,2413,2461
space,2477,2557
s,2581,2693
p,2669,2765
i,2741,2885
d,2861,2917
e,2981,3077
r,3109,3246
space,3247,3293
c,3317,3389
l,3389,3437
i,3533,3669
m,3605,3725
b,3693,3749
e,3861,3941
d,4005,4093
space,4117,4213
u,4174,4333
p,4334,4349
space,4349,4421
t,4373,4445
h,4445,4517
e,4565,4645
space,4621,4733
w,4757,4925
a,4973,5037
t,5166,5221
e,5326,5389
r,5437,5501
s,5605,5717
p,5669,5757
o,5893,5957
u,5909,6021
.,6206,6269
space,6301,6405
shift,6453,6941
d,6877,6997
o,7021,7118
backspace,7294,7357
backspace,7461,7517
backspace,7613,7677
backspace,7765,7885
t,7861,7965
space,8077,8157
.,8181,8278
backspace,8389,8469
backspace,8549,8621
.,8661,8797
space,8773,8925
shift,8845,8973
d,8901,9005
o,9029,9181
w,9157,9237
n,9205,9293
space,9414,9429
c,9573,9661
a,9757,9837
m,9837,9917
e,9941,10029
space,10005,10069
t,10125,10197
h,10165,10261
space,10374,10477
backspace,10677,10789
e,10749,10837
space,10861,10973
r,10941,10997
a,11125,11205
i,11173,11261
n,11205,11333
space,11285,11405
a,11349,11461
n,11437,11517
d,11541,11637
space,11613,11693
w,11725,11805
a,11909,11981
s,12061,12141
h,12141,12277
e,12253,12317
d,12422,12485
space,12461,12557
t,12605,12693
h,12661,12773
e,12789,12837
space,12869,12997
s,12965,13069
p,13045,13157
i,13133,13237
d,13213,13285
e,13382,13493
e,13813,13901
r,13981,14069
space,14093,14165
backspace,14334,14413
backspace,14493,14557
backspace,14621,14701
r,14669,14749
space,14749,14877
o,14845,14941
u,14909,15005
t,15021,15061
.,15117,15173
shift,16999,17421
m,17302,17422
a,17397,17478
r,17581,17669
y,17645,17757
space,17733,17812
h,17837,17957
a,17981,17997
d,18061,18149
backspace,18262,18357
backspace,18429,18502
backspace,18597,18661
backspace,18757,18821
backspace,18917,18981
backspace,19077,19141
backspace,19213,19293
a,19294,19397
r,19494,19613
y,19598,19693
space,19693,19773
h,19805,19909
a,19941,19949
d,20029,20109
space,20109,20197
a,20229,20293
space,20263,20365
l,20341,20517
i,20541,20637
t,20701,20829
t,20925,20989
l,21294,21429
e,21397,21509
space,21485,21597
l,21621,21765
a,21741,21829
m,21845,21965
b,21965,22053
.,22125,22229
space,22302,22365
shift,22623,22781
