user,session,keyname,timepress,timerelease
1,0,shift,0,494
1,0,t,406,517
1,0,h,541,605
1,0,e,629,709
1,0,space,733,805
1,0,i,918,981
1,0,t,1005,1085
1,0,s,1174,1285
1,0,y,1350,1413
1,0,space,1542,1621
1,0,b,1741,1797
1,0,i,1918,1997
1,0,t,2029,2109
1,0,s,2230,2341
1,0,y,2422,2477
1,0,space,2654,2725
1,0,s,2806,2925
1,0,p,2966,3037
1,0,i,3174,3237
1,0,f,3350,3429
1,0,d,3373,3405
1,0,backspace,4094,4173
1,0,backspace,4374,4445
1,0,d,4534,4621
1,0,e,4677,4741
1,0,r,4789,4837
1,0,space,5246,5317
1,0,c,5318,5389
1,0,a,5470,5573
1,0,m,5598,5725
1,0,backspace,6006,6069
1,0,backspace,6150,6221
1,0,l,6422,6510
1,0,i,6630,6709
1,0,m,6902,6957
1,0,b,7133,7205
1,0,e,7237,7405
1,0,d,7350,7485
1,0,space,7462,7549
1,0,u,7814,7901
1,0,p,8038,8109
1,0,space,8222,8294
1,0,t,8318,8413
1,0,h,8414,8469
1,0,e,8494,8573
1,0,space,8598,8669
1,0,w,8726,8829
1,0,a,8926,8997
1,0,t,9102,9181
1,0,e,9254,9389
1,0,r,9318,9429
1,0,s,9526,9629
1,0,p,9662,9726
1,0,o,9846,9917
1,0,u,10142,10221
1,0,t,10302,10398
1,0,.,10734,10853
1,0,space,11054,11157
1,0,shift,11134,11478
1,0,d,11366,11533
1,0,o,11502,11597
1,0,w,11621,11789
1,0,n,11789,11805
1,0,space,11894,11981
1,0,c,11997,12045
1,0,a,12141,12285
1,0,m,12262,12333
1,0,e,12374,12453
1,0,space,12454,12525
1,0,t,12581,12661
1,0,h,12685,12741
1,0,e,12773,12869
1,0,space,12981,13101
1,0,r,13173,13293
1,0,a,13357,13509
1,0,i,13478,13557
1,0,n,13662,13725
1,0,space,13822,13933
1,0,a,13885,14013
1,0,n,14085,14149
1,0,d,14125,14205
1,0,space,14245,14341
1,0,a,14397,14550
1,0,backspace,14902,14989
1,0,w,14965,15061
1,0,a,15037,15229
1,0,s,15157,15285
1,0,h,15253,15349
1,0,e,15422,15605
1,0,d,15542,15677
1,0,space,15653,15741
1,0,t,15781,15869
1,0,h,15909,15981
1,0,e,16061,16101
1,0,space,16117,16181
1,0,s,16213,16349
1,0,p,16382,16510
1,0,i,16654,16733
1,0,d,16781,16885
1,0,e,16933,17069
1,0,r,17037,17173
1,0,space,17109,17197
1,0,o,17333,17413
1,0,u,17527,17605
1,0,t,17629,17701
1,0,.,17845,17933
1,1,shift,0,678
1,1,m,583,638
1,1,a,750,854
1,1,r,926,1015
1,1,y,1054,1127
1,1,space,1238,1302
1,1,h,1422,1518
1,1,a,1518,1662
1,1,d,1638,1734
1,1,space,1734,1830
1,1,a,1846,1983
1,1,space,1943,2006
1,1,l,2159,2278
1,1,i,2358,2430
1,1,t,2486,2542
1,1,t,2614,2694
1,1,l,2718,2782
1,1,e,2822,2926
1,1,space,2927,2998
1,1,l,3120,3206
1,1,a,3222,3350
1,1,m,3446,3550
1,1,b,3711,3798
1,1,.,4111,4207
1,1,space,4319,4422
1,1,shift,4391,4486
1,1,shift,4607,5022
1,1,w,4879,4998
1,1,h,5023,5086
1,1,o,5271,5294
1,1,s,5294,5374
1,1,e,5486,5598
1,1,space,5622,5694
1,1,f,5798,5950
1,1,l,5991,6046
1,1,e,6031,6046
1,1,backspace,6279,6334
1,1,backspace,6422,6478
1,1,l,6983,7054
1,1,e,7094,7182
1,1,e,7263,7398
1,1,c,7590,7702
1,1,e,7630,7862
1,1,space,7862,7886
1,1,w,7918,8023
1,1,a,8143,8318
1,1,s,8255,8374
1,1,space,8350,8446
1,1,w,8646,8766
1,1,h,8798,8870
1,1,i,8991,9054
1,1,t,9078,9230
1,1,e,9174,9278
1,1,space,9303,9398
1,1,a,9646,9822
1,1,s,9758,9878
1,1,space,9878,9934
1,1,s,10063,10190
1,1,n,10206,10278
1,1,o,10390,10470
1,1,w,10494,10566
1,1,.,10662,10742
1,1,space,11247,11343
1,1,shift,11383,11774
1,1,a,11638,11775
1,1,n,11750,11846
1,1,d,11926,12014
1,1,space,12015,12118
1,1,backspace,12463,12518
1,1,backspace,12598,12654
1,1,backspace,12718,12774
1,1,n,12911,12990
1,1,d,13006,13086
1,1,space,13126,13214
1,1,e,13727,13822
1,1,v,13886,14006
1,1,e,14007,14118
1,1,r,14062,14166
1,1,y,14190,14254
1,1,w,14390,14494
1,1,h,14534,14630
1,1,e,14710,14782
1,1,r,14758,14910
1,1,e,14878,15014
1,1,space,15038,15110
1,1,t,15174,15270
1,1,h,15318,15438
1,1,a,15462,15590
1,1,t,15654,15758
1,1,space,15758,15838
1,1,shift,16159,16478
1,1,m,16334,16422
1,1,a,16502,16558
1,1,r,16662,16782
1,1,y,16991,17102
1,1,space,17238,17350
1,1,w,17567,17646
1,1,e,17758,17846
1,1,n,17878,17990
1,1,t,18014,18086
1,1,.,18302,18366
1,1,space,18791,18902
1,1,shift,19856,20166
1,1,t,20047,20142
1,1,h,20190,20270
1,1,e,20334,20470
1,1,space,20494,20566
1,1,l,20967,21086
1,1,a,21110,21238
1,1,m,21254,21358
1,1,b,21527,21630
1,1,space,21806,21878
1,1,w,21959,22094
1,1,a,22070,22238
1,1,s,22190,22318
1,1,space,22262,22366
1,1,s,22406,22551
1,1,u,22574,22662
1,1,r,22702,22838
1,1,e,22782,22910
1,1,space,22870,22958
1,1,t,23134,23230
1,1,o,23230,23286
1,1,space,23406,23510
1,1,g,23486,23598
1,1,o,23654,23750
1,1,.,23926,24022
1,2,shift,0,279
1,2,h,183,238
1,2,u,327,390
1,2,m,518,662
1,2,p,734,814
1,2,t,878,950
1,2,y,1022,1118
1,2,space,1150,1230
1,2,shift,1376,1639
1,2,d,1526,1640
1,2,u,1654,1734
1,2,m,1838,1934
1,2,p,2062,2166
1,2,t,2206,2334
1,2,y,2454,2583
1,2,space,2679,2766
1,2,s,3223,3358
1,2,a,3327,3454
1,2,t,3550,3638
1,2,space,3775,3846
1,2,o,3982,4038
1,2,n,4222,4310
1,2,space,4447,4542
1,2,a,4574,4670
1,2,space,4694,4782
1,2,w,4806,4942
1,2,a,4886,5006
